Volební obvod;Kandidát.číslo;Kandidát.příjmení, jméno, tituly;Kandidát.věk;Volební strana;Navrhující strana;Politická příslušnost;Povolání;Bydliště;1. kolo.počet hlasů;1. kolo.%;2. kolo.počet hlasů;2. kolo.%
36;5;Tita Miloš Ing.​;63;KSČM​;KSČM​;BEZPP​;komisař požární ochrany​;Ralsko​;2310;6,56;0;0,00
36;6;Štěrba Jiří​;64;Trikolora​;Trikolora​;Trikolora​;starosta​;Provodín​;1243;3,53;0;0,00
36;7;Šmejda Libor Mgr. et Mgr. MBA​;55;TOP09+KDU+SEN21​;TOP 09​;BEZPP​;ředitel školy​;Česká Lípa​;2221;6,30;0;0,00
36;8;Vosecký Jiří​;69;STAN+SLK​;SLK​;SLK​;sklář, včelař, senátor, regionální patriot​;Okrouhlá​;10418;29,59;6988;52,87
36;9;Křupala Jaroslav​;48;SOCDEM​;SOCDEM​;SOCDEM​;starosta obce Vrchovany​;Vrchovany​;1775;5,04;0;0,00
36;10;Křenek Libor​;53;SPD​;SPD​;SPD​;živnostník v oblasti nemovitostí a financí​;Chlum​;2682;7,61;0;0,00
39;1;Sobotka Jan Ing.​;59;STAN​;STAN​;BEZPP​;starosta města Vrchlabí​;Vrchlabí​;14839;41,71;12140;74,58
39;2;Slavka Michal​;47;SPD​;SPD​;SPD​;nástrojař​;Trutnov​;3250;9,13;0;0,00
39;3;Sovová Klára Mgr.​;54;ODS​;ODS​;ODS​;advokátka​;Pec pod Sněžkou​;8142;22,88;0;0,00
39;4;Jarolím Jan Ing.​;46;ANO​;ANO​;ANO​;starosta města Dvůr Králové nad Labem​;Dvůr Králové nad Labem​;9345;26,26;4137;25,41
42;1;Zapletal Michal Mgr.​;51;ODS​;ODS​;ODS​;soukromník, OSVČ​;Kolín​;6451;14,41;0;0,00
42;2;Třísková Emilie​;58;NK​;NK​;BEZPP​;ředitelka centra sociálních a zdravotních služeb​;Poděbrady​;5295;11,83;0;0,00
42;3;Škorpík Martin Ing.​;58;KSČM​;KSČM​;KSČM​;stavební projektant​;Kolín​;2186;4,88;0;0,00
42;4;Otta Jiří Ing.​;58;NK​;NK​;BEZPP​;OSVČ, v letech 1994-2010 starosta obce Velký Osek​;Kolín​;1091;2,43;0;0,00
42;5;Koky Cyril Mgr. MPA​;51;Piráti​;Piráti​;Piráti​;odborný referent Krajského úřadu SK​;Kolín​;4173;9,32;0;0,00
42;6;Otava Karel Ing.​;69;SOCDEM​;SOCDEM​;SOCDEM​;starosta města Lysá nad Labem​;Lysá nad Labem​;1195;2,67;0;0,00
42;7;Klinecký Tomáš Mgr.​;40;TOP+Hlas+Zelení​;TOP 09​;TOP 09​;místostarosta Českého Brodu, advokát​;Český Brod​;4603;10,28;0;0,00
42;8;Karen Igor MUDr.​;56;ANO​;ANO​;ANO​;lékař​;Lysá nad Labem​;6627;14,81;3923;20,51
42;9;Kohoutová Ivanka PhDr. Ph.D.​;63;Trikolora​;Trikolora​;BEZPP​;ředitelka střední školy​;Zlatá​;1630;3,64;0;0,00
42;10;Žantovský Petr doc. Mgr. Ph.D.​;58;SPD​;SPD​;BEZPP​;novinář, vysokoškolský pedagog​;Rudná​;2515;5,62;0;0,00
42;11;Kárník Pavel Mgr.​;60;STAN​;STAN​;BEZPP​;ředitel knihovny​;Kolín​;8971;20,05;15197;79,48
45;1;Staněk Pavel JUDr.​;47;ODS​;ODS​;ODS​;advokát​;Předměřice nad Labem​;5993;13,61;0;0,00
45;2;Brábník Petr​;51;Trikolora​;Trikolora​;Trikolora​;OSVČ - manager obch. skupiny​;Nový Bydžov​;1463;3,32;0;0,00
45;3;Holásek Jan JUDr. LL.M.​;47;HDK+TOP+SE+Z+LE​;HDK​;BEZPP​;právník, zastupitel města Hradec Králové​;Hradec Králové​;7445;16,91;15138;70,23
45;4;Dryml Vladimír MUDr.​;68;PRO Zdraví​;PRO Zdraví​;BEZPP​;lékař​;Vrchlabí​;517;1,17;0;0,00
45;5;Čáp Jan prof. MUDr. CSc.​;67;KDU-ČSL​;KDU-ČSL​;KDU-ČSL​;lékař, VŠ učitel​;Hradec Králové​;4075;9,26;0;0,00
45;6;Pakandlová Markéta JUDr.​;59;SPD​;SPD​;BEZPP​;advokátka​;Hradec Králové​;2194;4,98;0;0,00
45;7;Štěpán Lubomír Ing.​;66;KSČM​;KSČM​;KSČM​;stavební projektant​;Hradec Králové​;1996;4,53;0;0,00
45;8;Vacek Pavel doc. PhDr. Ph.D.​;72;Piráti​;Piráti​;BEZPP​;emeritní děkan PdF UHK, psycholog, zastupitel​;Hradec Králové​;6033;13,70;0;0,00
45;9;Malý Jaroslav prof. MUDr. CSc.​;73;NK​;NK​;BEZPP​;lékař, senátor​;Hradec Králové​;4342;9,86;0;0,00
45;10;Mašek Jiří MUDr.​;62;ANO​;ANO​;ANO​;lékař, poslanec PSP ČR​;Hradec Králové​;8587;19,51;6414;29,76
45;11;Indrák Igor​;44;NK​;NK​;BEZPP​;obchodně - technický pracovník​;Skřivany​;1360;3,09;0;0,00
48;1;Matoušek Jiří Mgr. MPA​;41;Trikolora​;Trikolora​;Trikolora​;jednatel společnosti​;Javornice​;1629;4,19;0;0,00
48;2;Lukášek Josef PaedDr.​;68;KSČM​;KSČM​;KSČM​;středoškolský pedagog​;Bystré​;2491;6,41;0;0,00
48;3;Chudoba Drahoslav​;55;NK​;NK​;BEZPP​;jednatel společnosti​;Rychnov nad Kněžnou​;2686;6,91;0;0,00
48;4;Mencl František brig. gen. Ing.​;65;SOCDEM​;SOCDEM​;BEZPP​;ředitel Hasičského záchranného sboru KHK​;Hradec Králové​;2500;6,43;0;0,00
48;5;Grulich Jan Mgr.​;45;TOP 09+LES​;TOP 09​;TOP 09​;ředitel ZŠ a MŠ Trivium Plus, krajský zastupitel​;Sedloňov​;9472;24,37;11432;59,65
48;6;Antl Miroslav JUDr.​;65;ZA OBČANY​;ZA OBČANY​;ZA OBČANY​;senátor P ČR, VŠ pedagog​;Hradec Králové​;10275;26,44;7733;40,34
48;7;Drejslová Jana Mgr.​;57;ODS​;ODS​;BEZPP​;místostarostka města Rychnov n. K., krajská zast.​;Rychnov nad Kněžnou​;7369;18,96;0;0,00
48;8;Lesenská Vladimíra Ing.​;56;SPD​;SPD​;BEZPP​;ředitelka Kontaktního pracoviště Ústí n. O. ÚP ČR​;Týniště nad Orlicí​;2436;6,26;0;0,00
51;1;Kasal Bohumil Ing.​;64;SPD​;SPD​;BEZPP​;univerzitní profesor​;Praha 6​;1644;4,78;0;0,00
51;2;Černý Libor JUDr.​;52;ANO​;ANO​;BEZPP​;poradce ministra​;Nové Město na Moravě​;5018;14,60;0;0,00
51;3;Střítecký Zdeněk Mgr. Bc.​;50;KSČM​;KSČM​;KSČM​;podnikový právník​;Trnava​;1503;4,37;0;0,00
51;4;Šmarda Michal​;45;SOCD+Zel+Budouc​;SOCDEM​;SOCDEM​;starosta​;Nové Město na Moravě​;8691;25,28;7198;40,18
51;5;Horká Ivana Ing. Bc.​;57;NeKa​;NeKa​;NeKa​;OSVČ​;Velké Meziříčí​;6853;19,93;0;0,00
51;6;Klement Josef Ing.​;49;KDU-ČSL​;KDU-ČSL​;BEZPP​;místostarosta města Žďár nad Sázavou​;Žďár nad Sázavou​;10660;31,01;10713;59,81
54;1;Beranová Bohumila​;47;NK​;NK​;BEZPP​;OSVČ​;Znojmo​;1778;5,88;0;0,00
54;2;Pavlík Martin MUDr. Ph.D., EDIC, DESA​;50;ANO​;ANO​;BEZPP​;ředitel Nemocnice Znojmo, lékař intenziv. medicíny​;Brno​;6094;20,18;0;0,00
54;3;Grois Jan​;40;SOM​;SOM​;SOCDEM​;starosta města Znojma​;Znojmo​;7778;25,75;8723;45,42
54;4;Třetina Tomáš Mgr.​;48;ODS+STAN+TOP 09​;TOP 09​;TOP 09​;starosta Moravského Krumlova​;Moravský Krumlov​;9172;30,37;10478;54,57
54;5;Šalomonová Růžena Mgr.​;66;SPD​;SPD​;SPD​;ředitelka společ., zakl. Rady seniorů Města Znojma​;Znojmo​;2226;7,37;0;0,00
54;6;Železný Vladimír PhDr.​;75;Trikolora​;Trikolora​;BEZPP​;podnikatel​;Praha​;868;2,87;0;0,00
54;7;Kováčik Pavel Ing.​;65;KSČM​;KSČM​;KSČM​;poslanec Parlamentu České republiky​;Třebíč​;2281;7,55;0;0,00
57;1;Bárek Ivo Ing.​;58;SOCDEM​;SOCDEM​;SOCDEM​;senátor​;Vyškov​;9579;22,17;0;0,00
57;2;Klaška Jaroslav Ing. arch.​;58;KDU+ODS+TOP 09​;KDU-ČSL​;KDU-ČSL​;architekt​;Šlapanice​;11955;27,67;8204;49,91
57;3;Bláha Libor Mgr. MBA​;40;SPD​;SPD​;SPD​;vysokoškolský pedagog, jednatel společnosti​;Vyškov​;3589;8,30;0;0,00
57;4;Wenzl Lubomír Mgr. Ing.​;52;ANO​;ANO​;ANO​;ředitel nemocnice​;Drnovice​;6341;14,68;0;0,00
57;5;Zitterbart Karel MUDr. Ph.D.​;41;STAN​;STAN​;BEZPP​;dětský lékař a onkolog​;Mokrá-Horákov​;11727;27,15;8231;50,08
60;1;Šabatová Anna Mgr. Ph.D.​;69;Zel+SEN21+Ideal​;Zelení​;BEZPP​;bývalá ombudsmanka​;Praha​;7937;17,94;8085;42,28
60;2;Chalupa Bohuslav Ing.​;60;PRO Zdraví​;PRO Zdraví​;BEZPP​;OSVČ​;Brno​;423;0,95;0;0,00
60;3;Duchoň Oldřich​;57;NáS​;NáS​;BEZPP​;jednatel firmy​;Brno​;209;0,47;0;0,00
60;4;Anderle Tomáš Mgr. Bc. MBA, LL.M.​;47;SPD​;SPD​;SPD​;ředitel speciální SŠ, zastupitel MČ Brno-Židenice​;Brno​;2786;6,29;0;0,00
60;5;Trčala Pavel​;42;MZH​;MZH​;MZH​;majitel sportovní firmy, lyžař, horolezec​;Brno​;1391;3,14;0;0,00
60;6;Kadeřávek Jiří Ing.​;50;Piráti​;Piráti​;Piráti​;programátor, analytik, manažer, zakladatel ČPS​;Sivice​;6505;14,70;0;0,00
60;7;Rais Karel prof. Ing. CSc., MBA​;70;ANO​;ANO​;BEZPP​;poslanec, VŠ profesor​;Brno​;7047;15,93;0;0,00
60;8;Berta Lukáš MgA.​;41;MHS​;MHS​;BEZPP​;IT specialista, člen organiz. týmu Vokolo priglu​;Brno​;916;2,07;0;0,00
60;9;Tomáš Tomáš MUDr. Ph.D.​;52;KDU-ČSL​;KDU-ČSL​;KDU-ČSL​;lékař, přednosta I. ortop. kliniky FN u sv. Anny​;Brno​;5920;13,38;0;0,00
60;10;Novák Richard JUDr.​;58;Trikolora​;Trikolora​;Trikolora​;advokát, myslivec​;Velké Němčice​;1429;3,23;0;0,00
60;11;Kraus Roman MUDr. MBA​;64;ODS+TOP 09​;ODS​;ODS​;lékař​;Brno​;9661;21,84;11036;57,71
63;1;Chromec Dan​;49;SPD​;SPD​;SPD​;technický pracovník ve zdravotnických službách​;Přerov​;2762;7,74;0;0,00
